group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 16,Task 2 - Expression tree evaluation,,,,3264328.0,ns,44
Day 16,Task 2 - Expression tree evaluation,,,,6534051.0,ns,88
Day 16,Task 2 - Expression tree evaluation,,,,9675022.0,ns,132
Day 16,Task 2 - Expression tree evaluation,,,,12593682.0,ns,176
Day 16,Task 2 - Expression tree evaluation,,,,16004045.0,ns,220
Day 16,Task 2 - Expression tree evaluation,,,,19005366.0,ns,264
Day 16,Task 2 - Expression tree evaluation,,,,22319812.0,ns,308
Day 16,Task 2 - Expression tree evaluation,,,,25507630.0,ns,352
Day 16,Task 2 - Expression tree evaluation,,,,28579183.0,ns,396
Day 16,Task 2 - Expression tree evaluation,,,,31943509.0,ns,440
Day 16,Task 2 - Expression tree evaluation,,,,35188359.0,ns,484
Day 16,Task 2 - Expression tree evaluation,,,,38217817.0,ns,528
Day 16,Task 2 - Expression tree evaluation,,,,41238063.0,ns,572
Day 16,Task 2 - Expression tree evaluation,,,,44580876.0,ns,616
Day 16,Task 2 - Expression tree evaluation,,,,47710280.0,ns,660
Day 16,Task 2 - Expression tree evaluation,,,,51153756.0,ns,704
Day 16,Task 2 - Expression tree evaluation,,,,54054082.0,ns,748
Day 16,Task 2 - Expression tree evaluation,,,,57721752.0,ns,792
Day 16,Task 2 - Expression tree evaluation,,,,60593518.0,ns,836
Day 16,Task 2 - Expression tree evaluation,,,,63582284.0,ns,880
Day 16,Task 2 - Expression tree evaluation,,,,68057204.0,ns,924
Day 16,Task 2 - Expression tree evaluation,,,,70026672.0,ns,968
Day 16,Task 2 - Expression tree evaluation,,,,72985030.0,ns,1012
Day 16,Task 2 - Expression tree evaluation,,,,76372470.0,ns,1056
Day 16,Task 2 - Expression tree evaluation,,,,80001362.0,ns,1100
Day 16,Task 2 - Expression tree evaluation,,,,82803762.0,ns,1144
Day 16,Task 2 - Expression tree evaluation,,,,86730607.0,ns,1188
Day 16,Task 2 - Expression tree evaluation,,,,88961822.0,ns,1232
Day 16,Task 2 - Expression tree evaluation,,,,92428002.0,ns,1276
Day 16,Task 2 - Expression tree evaluation,,,,95695311.0,ns,1320
Day 16,Task 2 - Expression tree evaluation,,,,99307932.0,ns,1364
Day 16,Task 2 - Expression tree evaluation,,,,102173954.0,ns,1408
Day 16,Task 2 - Expression tree evaluation,,,,105570796.0,ns,1452
Day 16,Task 2 - Expression tree evaluation,,,,108159611.0,ns,1496
Day 16,Task 2 - Expression tree evaluation,,,,111386475.0,ns,1540
Day 16,Task 2 - Expression tree evaluation,,,,115420958.0,ns,1584
Day 16,Task 2 - Expression tree evaluation,,,,117636119.0,ns,1628
Day 16,Task 2 - Expression tree evaluation,,,,121029778.0,ns,1672
Day 16,Task 2 - Expression tree evaluation,,,,124785426.0,ns,1716
Day 16,Task 2 - Expression tree evaluation,,,,127402959.0,ns,1760
Day 16,Task 2 - Expression tree evaluation,,,,133335386.0,ns,1804
Day 16,Task 2 - Expression tree evaluation,,,,133811175.0,ns,1848
Day 16,Task 2 - Expression tree evaluation,,,,137168542.0,ns,1892
Day 16,Task 2 - Expression tree evaluation,,,,141444582.0,ns,1936
Day 16,Task 2 - Expression tree evaluation,,,,144240137.0,ns,1980
Day 16,Task 2 - Expression tree evaluation,,,,147141418.0,ns,2024
Day 16,Task 2 - Expression tree evaluation,,,,150359620.0,ns,2068
Day 16,Task 2 - Expression tree evaluation,,,,154801086.0,ns,2112
Day 16,Task 2 - Expression tree evaluation,,,,156358367.0,ns,2156
Day 16,Task 2 - Expression tree evaluation,,,,159767841.0,ns,2200
