group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"Day 17, Task 1: Heighest shot",,,,,185813666.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,185773340.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,185813109.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,185433250.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,185509355.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,187027869.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,185692009.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,185895286.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,188202187.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,185610718.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,186414036.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,185733201.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,185780442.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,186392095.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,185891779.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,185798464.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,186102326.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,185677283.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,185813996.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,186316748.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,185907233.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,192777301.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,191745970.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,189488474.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,186610638.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,185447106.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,185588713.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,185683828.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,185896869.0,ns,3
"Day 17, Task 1: Heighest shot",,,,,186239447.0,ns,3
