group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 17,Task 1 - Heighest shot,,,,123764851.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123953611.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124265629.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124492655.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124105230.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123633804.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123698131.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124200908.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123902215.0,ns,2
Day 17,Task 1 - Heighest shot,,,,126475554.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124502544.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124555046.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124433350.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123637807.0,ns,2
Day 17,Task 1 - Heighest shot,,,,130672289.0,ns,2
Day 17,Task 1 - Heighest shot,,,,130185097.0,ns,2
Day 17,Task 1 - Heighest shot,,,,127370351.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124528353.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123717083.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124135977.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123848272.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123606873.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123568844.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124186029.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123964783.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124096427.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123748022.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124581123.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123765662.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123965488.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123698569.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124020873.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123895639.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124188720.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123873168.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123950248.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123994802.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123597540.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123803171.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123679530.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123899447.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123866659.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123795886.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124567370.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123686115.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124211731.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123646521.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123830173.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123726052.0,ns,2
Day 17,Task 1 - Heighest shot,,,,125328779.0,ns,2
