group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 17,Task 1 - Heighest shot,,,,93018383.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93178130.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92854132.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93032949.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92788339.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92901724.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93276870.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92880043.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93007043.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92934210.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92774736.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93058364.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93044263.0,ns,1
Day 17,Task 1 - Heighest shot,,,,95124486.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93208067.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92812111.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93149317.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93043462.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93570632.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92994771.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92913326.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92991259.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93155839.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92977154.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92806066.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92811906.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92832695.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92926397.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92986717.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93163349.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93627629.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93005354.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93149149.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93622964.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93207049.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92813190.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92997288.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92831283.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93579776.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93520656.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93201077.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93267515.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92954715.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93649806.0,ns,1
Day 17,Task 1 - Heighest shot,,,,93654964.0,ns,1
Day 17,Task 1 - Heighest shot,,,,92978439.0,ns,1
Day 17,Task 1 - Heighest shot,,,,98574871.0,ns,1
Day 17,Task 1 - Heighest shot,,,,95275970.0,ns,1
Day 17,Task 1 - Heighest shot,,,,98841398.0,ns,1
Day 17,Task 1 - Heighest shot,,,,96735054.0,ns,1
