group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 17,Task 2 - Amount of distinct velocities,,,,102046041.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101933070.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102666989.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102392657.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102245986.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101961776.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101952931.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102631172.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102228049.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102266010.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102149494.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102995732.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102284609.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102121740.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102554051.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,109389702.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,108075454.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,105912183.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101902479.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,103738030.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102012095.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102523415.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,103089055.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102464567.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102444646.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101788003.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101847931.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101927039.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101784389.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,103719838.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102089571.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102590479.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101949838.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102093248.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102353855.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102187297.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102084448.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102416667.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102078061.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102490965.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102101306.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102873818.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101917903.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102177994.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102137482.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102333816.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102102466.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102169545.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102037942.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102246198.0,ns,1
