group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 17,Task 2 - Amount of distinct velocities,,,,102729600.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102129275.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102929691.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102662308.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102823465.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,103744086.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,103132257.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102971312.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102478025.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102977660.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102827094.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102717988.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102120784.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101955716.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102334702.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,103681693.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102593119.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102173423.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102005317.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102301891.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102356775.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102001747.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102143781.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102288295.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102248212.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102676729.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102676860.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,103724079.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,103511954.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102292079.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102102684.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102769772.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102328201.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,103415134.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,103319617.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101890253.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101896274.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102717262.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101921479.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102731380.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101911636.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102067757.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101938666.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101932296.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102140825.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,102064070.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101938699.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101909428.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101778969.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,101884604.0,ns,1
