group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 18,Task 1 - Sum of all Snailfish numbers,,,,4450990.0,ns,2
Day 18,Task 1 - Sum of all Snailfish numbers,,,,8913810.0,ns,4
Day 18,Task 1 - Sum of all Snailfish numbers,,,,13677422.0,ns,6
Day 18,Task 1 - Sum of all Snailfish numbers,,,,17862146.0,ns,8
Day 18,Task 1 - Sum of all Snailfish numbers,,,,22357311.0,ns,10
Day 18,Task 1 - Sum of all Snailfish numbers,,,,26709577.0,ns,12
Day 18,Task 1 - Sum of all Snailfish numbers,,,,31347330.0,ns,14
Day 18,Task 1 - Sum of all Snailfish numbers,,,,35922612.0,ns,16
Day 18,Task 1 - Sum of all Snailfish numbers,,,,39363188.0,ns,18
Day 18,Task 1 - Sum of all Snailfish numbers,,,,44542712.0,ns,20
Day 18,Task 1 - Sum of all Snailfish numbers,,,,49088295.0,ns,22
Day 18,Task 1 - Sum of all Snailfish numbers,,,,53234149.0,ns,24
Day 18,Task 1 - Sum of all Snailfish numbers,,,,57598993.0,ns,26
Day 18,Task 1 - Sum of all Snailfish numbers,,,,62018446.0,ns,28
Day 18,Task 1 - Sum of all Snailfish numbers,,,,66603869.0,ns,30
Day 18,Task 1 - Sum of all Snailfish numbers,,,,71664573.0,ns,32
Day 18,Task 1 - Sum of all Snailfish numbers,,,,75543842.0,ns,34
Day 18,Task 1 - Sum of all Snailfish numbers,,,,79765941.0,ns,36
Day 18,Task 1 - Sum of all Snailfish numbers,,,,84878941.0,ns,38
Day 18,Task 1 - Sum of all Snailfish numbers,,,,89244538.0,ns,40
Day 18,Task 1 - Sum of all Snailfish numbers,,,,93208663.0,ns,42
Day 18,Task 1 - Sum of all Snailfish numbers,,,,99016504.0,ns,44
Day 18,Task 1 - Sum of all Snailfish numbers,,,,102140013.0,ns,46
Day 18,Task 1 - Sum of all Snailfish numbers,,,,104985072.0,ns,48
Day 18,Task 1 - Sum of all Snailfish numbers,,,,112471316.0,ns,50
Day 18,Task 1 - Sum of all Snailfish numbers,,,,114007495.0,ns,52
Day 18,Task 1 - Sum of all Snailfish numbers,,,,120482917.0,ns,54
Day 18,Task 1 - Sum of all Snailfish numbers,,,,123374811.0,ns,56
Day 18,Task 1 - Sum of all Snailfish numbers,,,,128721150.0,ns,58
Day 18,Task 1 - Sum of all Snailfish numbers,,,,133105416.0,ns,60
Day 18,Task 1 - Sum of all Snailfish numbers,,,,138497044.0,ns,62
Day 18,Task 1 - Sum of all Snailfish numbers,,,,142197632.0,ns,64
Day 18,Task 1 - Sum of all Snailfish numbers,,,,146668612.0,ns,66
Day 18,Task 1 - Sum of all Snailfish numbers,,,,151696596.0,ns,68
Day 18,Task 1 - Sum of all Snailfish numbers,,,,154750273.0,ns,70
Day 18,Task 1 - Sum of all Snailfish numbers,,,,159195415.0,ns,72
Day 18,Task 1 - Sum of all Snailfish numbers,,,,164210057.0,ns,74
Day 18,Task 1 - Sum of all Snailfish numbers,,,,168853086.0,ns,76
Day 18,Task 1 - Sum of all Snailfish numbers,,,,172736989.0,ns,78
Day 18,Task 1 - Sum of all Snailfish numbers,,,,178031402.0,ns,80
Day 18,Task 1 - Sum of all Snailfish numbers,,,,202389272.0,ns,82
Day 18,Task 1 - Sum of all Snailfish numbers,,,,198444587.0,ns,84
Day 18,Task 1 - Sum of all Snailfish numbers,,,,267933162.0,ns,86
Day 18,Task 1 - Sum of all Snailfish numbers,,,,196880385.0,ns,88
Day 18,Task 1 - Sum of all Snailfish numbers,,,,202245333.0,ns,90
Day 18,Task 1 - Sum of all Snailfish numbers,,,,204147996.0,ns,92
Day 18,Task 1 - Sum of all Snailfish numbers,,,,208243753.0,ns,94
Day 18,Task 1 - Sum of all Snailfish numbers,,,,211192411.0,ns,96
Day 18,Task 1 - Sum of all Snailfish numbers,,,,214852470.0,ns,98
Day 18,Task 1 - Sum of all Snailfish numbers,,,,219652958.0,ns,100
