group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 18,Task 1 - Sum of all Snailfish numbers,,,,4387188.0,ns,2
Day 18,Task 1 - Sum of all Snailfish numbers,,,,8689229.0,ns,4
Day 18,Task 1 - Sum of all Snailfish numbers,,,,13143234.0,ns,6
Day 18,Task 1 - Sum of all Snailfish numbers,,,,17489833.0,ns,8
Day 18,Task 1 - Sum of all Snailfish numbers,,,,21743219.0,ns,10
Day 18,Task 1 - Sum of all Snailfish numbers,,,,26241292.0,ns,12
Day 18,Task 1 - Sum of all Snailfish numbers,,,,30603825.0,ns,14
Day 18,Task 1 - Sum of all Snailfish numbers,,,,34988424.0,ns,16
Day 18,Task 1 - Sum of all Snailfish numbers,,,,39743927.0,ns,18
Day 18,Task 1 - Sum of all Snailfish numbers,,,,44145467.0,ns,20
Day 18,Task 1 - Sum of all Snailfish numbers,,,,48068872.0,ns,22
Day 18,Task 1 - Sum of all Snailfish numbers,,,,52622851.0,ns,24
Day 18,Task 1 - Sum of all Snailfish numbers,,,,56694564.0,ns,26
Day 18,Task 1 - Sum of all Snailfish numbers,,,,61060656.0,ns,28
Day 18,Task 1 - Sum of all Snailfish numbers,,,,65539275.0,ns,30
Day 18,Task 1 - Sum of all Snailfish numbers,,,,69844749.0,ns,32
Day 18,Task 1 - Sum of all Snailfish numbers,,,,74204491.0,ns,34
Day 18,Task 1 - Sum of all Snailfish numbers,,,,78836388.0,ns,36
Day 18,Task 1 - Sum of all Snailfish numbers,,,,83505215.0,ns,38
Day 18,Task 1 - Sum of all Snailfish numbers,,,,87647118.0,ns,40
Day 18,Task 1 - Sum of all Snailfish numbers,,,,91704993.0,ns,42
Day 18,Task 1 - Sum of all Snailfish numbers,,,,96092227.0,ns,44
Day 18,Task 1 - Sum of all Snailfish numbers,,,,100392532.0,ns,46
Day 18,Task 1 - Sum of all Snailfish numbers,,,,104669463.0,ns,48
Day 18,Task 1 - Sum of all Snailfish numbers,,,,109747845.0,ns,50
Day 18,Task 1 - Sum of all Snailfish numbers,,,,113632533.0,ns,52
Day 18,Task 1 - Sum of all Snailfish numbers,,,,117828675.0,ns,54
Day 18,Task 1 - Sum of all Snailfish numbers,,,,123006834.0,ns,56
Day 18,Task 1 - Sum of all Snailfish numbers,,,,127259628.0,ns,58
Day 18,Task 1 - Sum of all Snailfish numbers,,,,131094132.0,ns,60
Day 18,Task 1 - Sum of all Snailfish numbers,,,,135931315.0,ns,62
Day 18,Task 1 - Sum of all Snailfish numbers,,,,139444030.0,ns,64
Day 18,Task 1 - Sum of all Snailfish numbers,,,,144508377.0,ns,66
Day 18,Task 1 - Sum of all Snailfish numbers,,,,148352700.0,ns,68
Day 18,Task 1 - Sum of all Snailfish numbers,,,,153167273.0,ns,70
Day 18,Task 1 - Sum of all Snailfish numbers,,,,158940852.0,ns,72
Day 18,Task 1 - Sum of all Snailfish numbers,,,,161956261.0,ns,74
Day 18,Task 1 - Sum of all Snailfish numbers,,,,166055095.0,ns,76
Day 18,Task 1 - Sum of all Snailfish numbers,,,,171305254.0,ns,78
Day 18,Task 1 - Sum of all Snailfish numbers,,,,175248558.0,ns,80
Day 18,Task 1 - Sum of all Snailfish numbers,,,,180087219.0,ns,82
Day 18,Task 1 - Sum of all Snailfish numbers,,,,184270961.0,ns,84
Day 18,Task 1 - Sum of all Snailfish numbers,,,,188163771.0,ns,86
Day 18,Task 1 - Sum of all Snailfish numbers,,,,193066453.0,ns,88
Day 18,Task 1 - Sum of all Snailfish numbers,,,,197617027.0,ns,90
Day 18,Task 1 - Sum of all Snailfish numbers,,,,204888930.0,ns,92
Day 18,Task 1 - Sum of all Snailfish numbers,,,,206021486.0,ns,94
Day 18,Task 1 - Sum of all Snailfish numbers,,,,210208211.0,ns,96
Day 18,Task 1 - Sum of all Snailfish numbers,,,,214337323.0,ns,98
Day 18,Task 1 - Sum of all Snailfish numbers,,,,218872912.0,ns,100
