group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 19,Task 1 - Amount of beacons,,,,1033823012.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1033344617.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1034726175.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1040206285.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1042418094.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1044513379.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1032351910.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1033235019.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1035927485.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1035441743.0,ns,1
