group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 19,Task 1 - Amount of beacons,,,,1026173806.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1029068584.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1025564263.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1026220108.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1025169369.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1027578230.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1025872568.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1046713599.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1026961138.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1026058481.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1024699817.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1027229367.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1025750006.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1025230497.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1022536799.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1024904190.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1035222966.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1036198990.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1022871405.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1024980099.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1026980675.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1025468587.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1025376557.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1024333747.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1031896864.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1027263938.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1044729668.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1026313914.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1025502786.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1026015190.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1027230167.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1079361148.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1024485551.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1025270298.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1026395757.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1026428641.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1128585784.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1027588075.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1026389535.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1024976540.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1030661651.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1024962737.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1026898607.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1024501470.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1025828194.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1050488651.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1037790016.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1025337899.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1026606286.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1032517570.0,ns,1
