group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 19,Task 2 - Manhatten distance,,,,1044217213.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1047867264.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1067258375.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1047860705.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1047795685.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1046479918.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1052827106.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1052678460.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1051495722.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1049256296.0,ns,1
