group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 19,Task 2 - Manhatten distance,,,,1038291065.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1038483957.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1037194383.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1042876656.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1059567770.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1039814969.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1037922766.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1042581369.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1038375079.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1088216337.0,ns,1
