group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,4510395.0,ns,3
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,8944865.0,ns,6
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,13480871.0,ns,9
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,17876296.0,ns,12
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,22448974.0,ns,15
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,26930896.0,ns,18
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,31860817.0,ns,21
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,35815502.0,ns,24
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,40415022.0,ns,27
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,45597429.0,ns,30
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,49545762.0,ns,33
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,54733549.0,ns,36
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,58391866.0,ns,39
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,72990232.0,ns,42
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,68512327.0,ns,45
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,77593306.0,ns,48
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,80372629.0,ns,51
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,81148347.0,ns,54
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,86420713.0,ns,57
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,90522050.0,ns,60
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,94508408.0,ns,63
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,99334299.0,ns,66
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,103572743.0,ns,69
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,108721340.0,ns,72
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,113103320.0,ns,75
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,117694716.0,ns,78
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,122038228.0,ns,81
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,126386595.0,ns,84
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,131069229.0,ns,87
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,134890044.0,ns,90
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,139666578.0,ns,93
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,145486037.0,ns,96
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,149321186.0,ns,99
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,153146692.0,ns,102
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,157948778.0,ns,105
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,162566974.0,ns,108
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,167586630.0,ns,111
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,171487985.0,ns,114
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,176000124.0,ns,117
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,180673834.0,ns,120
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,185040311.0,ns,123
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,190498517.0,ns,126
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,194548866.0,ns,129
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,198547426.0,ns,132
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,204162520.0,ns,135
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,215509332.0,ns,138
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,212680593.0,ns,141
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,216271656.0,ns,144
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,220546135.0,ns,147
Day 20,Task 1 - Lit pixels after 2 enhancements,,,,224918488.0,ns,150
