group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,150926388.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,150843892.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151121872.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,150659759.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,150741639.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151322572.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,150707310.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,150712154.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,152355031.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,150609803.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151281522.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151300916.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,150852722.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151327110.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,150663441.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151158724.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151179504.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151883484.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151047014.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,152078615.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,159773475.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,159250436.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,155532283.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151335053.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151468334.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151621159.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151505433.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,150546080.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151813976.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,150726497.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151505536.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,150706286.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,152089239.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151065444.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,150216320.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,150469485.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151609402.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,150351440.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151951899.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151672099.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151128910.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,150916114.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,150851600.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151021754.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151128921.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151611046.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,152015247.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,150055019.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,150922197.0,ns,2
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,151116621.0,ns,2
