group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 21,Task 1 - Deterministic die,,,,72021635.0,ns,5868
Day 21,Task 1 - Deterministic die,,,,154745133.0,ns,11736
Day 21,Task 1 - Deterministic die,,,,232027326.0,ns,17604
Day 21,Task 1 - Deterministic die,,,,292182471.0,ns,23472
Day 21,Task 1 - Deterministic die,,,,362105543.0,ns,29340
Day 21,Task 1 - Deterministic die,,,,435971127.0,ns,35208
Day 21,Task 1 - Deterministic die,,,,507653569.0,ns,41076
Day 21,Task 1 - Deterministic die,,,,580058527.0,ns,46944
Day 21,Task 1 - Deterministic die,,,,655006352.0,ns,52812
Day 21,Task 1 - Deterministic die,,,,728869641.0,ns,58680
