group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 21,Task 1 - Deterministic die,,,,73783538.0,ns,5746
Day 21,Task 1 - Deterministic die,,,,146691095.0,ns,11492
Day 21,Task 1 - Deterministic die,,,,219746424.0,ns,17238
Day 21,Task 1 - Deterministic die,,,,299704275.0,ns,22984
Day 21,Task 1 - Deterministic die,,,,363608217.0,ns,28730
Day 21,Task 1 - Deterministic die,,,,439862721.0,ns,34476
Day 21,Task 1 - Deterministic die,,,,509251814.0,ns,40222
Day 21,Task 1 - Deterministic die,,,,582908311.0,ns,45968
Day 21,Task 1 - Deterministic die,,,,651651186.0,ns,51714
Day 21,Task 1 - Deterministic die,,,,722076305.0,ns,57460
