group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 21,Task 2 - Quantum die,,,,74695932.0,ns,7
Day 21,Task 2 - Quantum die,,,,148879351.0,ns,14
Day 21,Task 2 - Quantum die,,,,224909174.0,ns,21
Day 21,Task 2 - Quantum die,,,,297985957.0,ns,28
Day 21,Task 2 - Quantum die,,,,374078887.0,ns,35
Day 21,Task 2 - Quantum die,,,,448368313.0,ns,42
Day 21,Task 2 - Quantum die,,,,523454156.0,ns,49
Day 21,Task 2 - Quantum die,,,,603865197.0,ns,56
Day 21,Task 2 - Quantum die,,,,674979055.0,ns,63
Day 21,Task 2 - Quantum die,,,,772628485.0,ns,70
