group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 21,Task 2 - Quantum die,,,,434300896.0,ns,1
Day 21,Task 2 - Quantum die,,,,434757370.0,ns,1
Day 21,Task 2 - Quantum die,,,,434854061.0,ns,1
Day 21,Task 2 - Quantum die,,,,434788104.0,ns,1
Day 21,Task 2 - Quantum die,,,,434555051.0,ns,1
Day 21,Task 2 - Quantum die,,,,434264218.0,ns,1
Day 21,Task 2 - Quantum die,,,,437724818.0,ns,1
Day 21,Task 2 - Quantum die,,,,434214847.0,ns,1
Day 21,Task 2 - Quantum die,,,,434260195.0,ns,1
Day 21,Task 2 - Quantum die,,,,434324678.0,ns,1
