group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 22,Task 1 - Lit cubes in the initialization area,,,,487061727.0,ns,3
Day 22,Task 1 - Lit cubes in the initialization area,,,,486301693.0,ns,3
Day 22,Task 1 - Lit cubes in the initialization area,,,,487646378.0,ns,3
Day 22,Task 1 - Lit cubes in the initialization area,,,,487654981.0,ns,3
Day 22,Task 1 - Lit cubes in the initialization area,,,,487097061.0,ns,3
Day 22,Task 1 - Lit cubes in the initialization area,,,,485809871.0,ns,3
Day 22,Task 1 - Lit cubes in the initialization area,,,,487407131.0,ns,3
Day 22,Task 1 - Lit cubes in the initialization area,,,,509482562.0,ns,3
Day 22,Task 1 - Lit cubes in the initialization area,,,,486939522.0,ns,3
Day 22,Task 1 - Lit cubes in the initialization area,,,,486372189.0,ns,3
