group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 22,Task 1 - Lit cubes in the initialization area,,,,486757174.0,ns,3
Day 22,Task 1 - Lit cubes in the initialization area,,,,486456355.0,ns,3
Day 22,Task 1 - Lit cubes in the initialization area,,,,484850301.0,ns,3
Day 22,Task 1 - Lit cubes in the initialization area,,,,485964675.0,ns,3
Day 22,Task 1 - Lit cubes in the initialization area,,,,485127489.0,ns,3
Day 22,Task 1 - Lit cubes in the initialization area,,,,487632650.0,ns,3
Day 22,Task 1 - Lit cubes in the initialization area,,,,489060567.0,ns,3
Day 22,Task 1 - Lit cubes in the initialization area,,,,487892707.0,ns,3
Day 22,Task 1 - Lit cubes in the initialization area,,,,485476459.0,ns,3
Day 22,Task 1 - Lit cubes in the initialization area,,,,486114034.0,ns,3
