group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 22,Task 2 - Lit cubes in the whole domain,,,,487408632.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,484616310.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,482719282.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,499210181.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,497358677.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,504586762.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,487589895.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,484956707.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,494706631.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,493547024.0,ns,1
