group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 22,Task 2 - Lit cubes in the whole domain,,,,493988702.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,485484868.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,558210100.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,483991043.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,479331552.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,494293924.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,494551324.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,496022370.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,482968847.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,505570448.0,ns,1
