group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 23,Task 1 - Least amount of energy (small rooms),,,,88297371.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86688917.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86415972.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86558441.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86371086.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86713093.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,87111331.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86523037.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86409135.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,87385209.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,87881358.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,88322381.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86936675.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,87311908.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86892750.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,88099495.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,91110058.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,87066509.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86708839.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86760369.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86514295.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86786679.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86720136.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,87219789.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86962492.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86455379.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86798943.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86525884.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86332759.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86686641.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86958592.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86887780.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,96254025.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,94628628.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,87221704.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,91822390.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,87310825.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,88096828.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86517537.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86390195.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86728201.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86993079.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86673909.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86671179.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86636356.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,87039211.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86999958.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,87820775.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86644434.0,ns,7
Day 23,Task 1 - Least amount of energy (small rooms),,,,86506075.0,ns,7
