group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 23,Task 2 - Least amount of energy (large rooms),,,,111835728.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112099045.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,121466214.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,121335782.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,117695023.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,111848237.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,113890183.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112220188.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112365720.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112095169.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,111868690.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112177147.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112315570.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,113315199.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112521426.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,111926757.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112425056.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,113283428.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,111824014.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112770962.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,111852077.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112603857.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112553026.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112087920.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112023512.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,111797456.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,113182763.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,113160830.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,113636857.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,113431851.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,115341686.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,114753141.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112935026.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,111926091.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,115955180.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112034076.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112548453.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112099952.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112243358.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112296720.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,113691343.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112049950.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112012779.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,111858043.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112190485.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112788601.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112194183.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112369742.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,112395658.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,113099059.0,ns,2
