group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 24,Task 2 - Minimum Model number,,,,93438397.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,94649878.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93894201.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92864852.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,94047078.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93045063.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,96297011.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93106907.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93498110.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93069689.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92852369.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93017910.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93686126.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,94092849.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93158385.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93106930.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92868679.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92886873.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,94122595.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92773153.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92784622.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93073752.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92958701.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93473965.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93613718.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,94002774.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92981403.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92860401.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92999962.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93156961.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92868013.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93159555.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93122005.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92906386.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93975642.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93413427.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92999270.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93036854.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93732596.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93331720.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93530156.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93446398.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92981978.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93143986.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93411012.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93393812.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93232548.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93055828.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92960407.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92940258.0,ns,5
