group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 24,Task 2 - Minimum Model number,,,,92992986.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93175508.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93299616.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93840504.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93084945.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92848146.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93844639.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93566554.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93360116.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92979381.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93061152.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93054735.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92992683.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93421961.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93391186.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92888885.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93285088.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93184462.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93357138.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93581374.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92936104.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92895517.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93302324.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93029904.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93970234.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93394824.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92959294.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93156500.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93198628.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93100358.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93415431.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92880551.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93411468.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93043525.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93499132.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93512435.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93448094.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,95649114.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93293255.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92997625.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93001418.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93691611.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93982510.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93007074.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93133469.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,92779128.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93419727.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93034328.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,93147696.0,ns,5
Day 24,Task 2 - Minimum Model number,,,,116621357.0,ns,5
