group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lowest Total Risk,,,,,51884157.0,ns,11
Lowest Total Risk,,,,,51699779.0,ns,11
Lowest Total Risk,,,,,49759479.0,ns,11
Lowest Total Risk,,,,,49458992.0,ns,11
Lowest Total Risk,,,,,49699466.0,ns,11
Lowest Total Risk,,,,,50231568.0,ns,11
Lowest Total Risk,,,,,49767629.0,ns,11
Lowest Total Risk,,,,,49896780.0,ns,11
Lowest Total Risk,,,,,49618679.0,ns,11
Lowest Total Risk,,,,,49811782.0,ns,11
Lowest Total Risk,,,,,49710828.0,ns,11
Lowest Total Risk,,,,,49749511.0,ns,11
Lowest Total Risk,,,,,49806021.0,ns,11
Lowest Total Risk,,,,,49894630.0,ns,11
Lowest Total Risk,,,,,50489806.0,ns,11
Lowest Total Risk,,,,,50148662.0,ns,11
Lowest Total Risk,,,,,49603334.0,ns,11
Lowest Total Risk,,,,,49761530.0,ns,11
Lowest Total Risk,,,,,50317073.0,ns,11
Lowest Total Risk,,,,,49716212.0,ns,11
Lowest Total Risk,,,,,49490774.0,ns,11
Lowest Total Risk,,,,,49992528.0,ns,11
Lowest Total Risk,,,,,50320085.0,ns,11
Lowest Total Risk,,,,,49525694.0,ns,11
Lowest Total Risk,,,,,49410235.0,ns,11
Lowest Total Risk,,,,,50290339.0,ns,11
Lowest Total Risk,,,,,51011749.0,ns,11
Lowest Total Risk,,,,,49815265.0,ns,11
Lowest Total Risk,,,,,49511563.0,ns,11
Lowest Total Risk,,,,,50418138.0,ns,11
Lowest Total Risk,,,,,49604984.0,ns,11
Lowest Total Risk,,,,,49490055.0,ns,11
Lowest Total Risk,,,,,49892772.0,ns,11
Lowest Total Risk,,,,,49765940.0,ns,11
Lowest Total Risk,,,,,49954725.0,ns,11
Lowest Total Risk,,,,,50704080.0,ns,11
Lowest Total Risk,,,,,50281609.0,ns,11
Lowest Total Risk,,,,,49608941.0,ns,11
Lowest Total Risk,,,,,49565895.0,ns,11
Lowest Total Risk,,,,,49443918.0,ns,11
Lowest Total Risk,,,,,49504544.0,ns,11
Lowest Total Risk,,,,,49651032.0,ns,11
Lowest Total Risk,,,,,49801283.0,ns,11
Lowest Total Risk,,,,,49732358.0,ns,11
Lowest Total Risk,,,,,58630053.0,ns,11
Lowest Total Risk,,,,,50206626.0,ns,11
Lowest Total Risk,,,,,50679254.0,ns,11
Lowest Total Risk,,,,,56287468.0,ns,11
Lowest Total Risk,,,,,49577025.0,ns,11
Lowest Total Risk,,,,,54331894.0,ns,11
Lowest Total Risk,,,,,49819637.0,ns,11
Lowest Total Risk,,,,,50047620.0,ns,11
Lowest Total Risk,,,,,49810427.0,ns,11
Lowest Total Risk,,,,,50965885.0,ns,11
Lowest Total Risk,,,,,50075970.0,ns,11
Lowest Total Risk,,,,,49893561.0,ns,11
Lowest Total Risk,,,,,49577117.0,ns,11
Lowest Total Risk,,,,,49686110.0,ns,11
Lowest Total Risk,,,,,49721512.0,ns,11
Lowest Total Risk,,,,,49662717.0,ns,11
Lowest Total Risk,,,,,49638120.0,ns,11
Lowest Total Risk,,,,,49530194.0,ns,11
Lowest Total Risk,,,,,49510559.0,ns,11
Lowest Total Risk,,,,,50406800.0,ns,11
Lowest Total Risk,,,,,49621772.0,ns,11
Lowest Total Risk,,,,,49562965.0,ns,11
Lowest Total Risk,,,,,51596253.0,ns,11
Lowest Total Risk,,,,,49719867.0,ns,11
Lowest Total Risk,,,,,49888041.0,ns,11
Lowest Total Risk,,,,,49529814.0,ns,11
Lowest Total Risk,,,,,49520349.0,ns,11
Lowest Total Risk,,,,,49595463.0,ns,11
Lowest Total Risk,,,,,49763241.0,ns,11
Lowest Total Risk,,,,,50155281.0,ns,11
Lowest Total Risk,,,,,50198445.0,ns,11
Lowest Total Risk,,,,,49675447.0,ns,11
Lowest Total Risk,,,,,49662565.0,ns,11
Lowest Total Risk,,,,,49370277.0,ns,11
Lowest Total Risk,,,,,50128093.0,ns,11
Lowest Total Risk,,,,,49360736.0,ns,11
Lowest Total Risk,,,,,49688720.0,ns,11
Lowest Total Risk,,,,,49485218.0,ns,11
Lowest Total Risk,,,,,49675985.0,ns,11
Lowest Total Risk,,,,,49311741.0,ns,11
Lowest Total Risk,,,,,50184113.0,ns,11
Lowest Total Risk,,,,,49292489.0,ns,11
Lowest Total Risk,,,,,49901751.0,ns,11
Lowest Total Risk,,,,,50564842.0,ns,11
Lowest Total Risk,,,,,49659682.0,ns,11
Lowest Total Risk,,,,,49651088.0,ns,11
Lowest Total Risk,,,,,49835872.0,ns,11
Lowest Total Risk,,,,,50023894.0,ns,11
Lowest Total Risk,,,,,49716207.0,ns,11
Lowest Total Risk,,,,,49469971.0,ns,11
Lowest Total Risk,,,,,50154783.0,ns,11
Lowest Total Risk,,,,,49474720.0,ns,11
Lowest Total Risk,,,,,50071629.0,ns,11
Lowest Total Risk,,,,,50088919.0,ns,11
Lowest Total Risk,,,,,49276223.0,ns,11
Lowest Total Risk,,,,,49972564.0,ns,11
